Danh muc,Ten san pham,SKU,Bien the,Ton kho web,Serial,Vi tri ke
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000001,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000002,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000003,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000004,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000005,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000006,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000007,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000008,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000009,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000010,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000011,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000012,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000013,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000014,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000015,Ke A - Tang 1 - O 9
Laptop & Desktop,Apple macbook-air-15-inch-m2-2023-,LAP-APP-60299-16GB,16GB,70,ES0000180000016,Ke A - Tang 1 - O 9
